total fitness: 2.3808, overhead fitness: 0.9334, acc fitness: 0.5140
total fitness: 2.0461, overhead fitness: 0.5351, acc fitness: 0.9760
total fitness: 2.3427, overhead fitness: 0.8974, acc fitness: 0.5480
total fitness: 2.0496, overhead fitness: 0.5468, acc fitness: 0.9560
total fitness: 2.0194, overhead fitness: 0.5377, acc fitness: 0.9440
total fitness: 2.0469, overhead fitness: 0.5414, acc fitness: 0.9640
total fitness: 2.5714, overhead fitness: 0.8517, acc fitness: 0.8680
total fitness: 2.1237, overhead fitness: 0.5668, acc fitness: 0.9900
total fitness: 2.1187, overhead fitness: 0.5654, acc fitness: 0.9880
total fitness: 2.0285, overhead fitness: 0.5583, acc fitness: 0.9120
total fitness: 2.0276, overhead fitness: 0.5468, acc fitness: 0.9340
total fitness: 2.0936, overhead fitness: 0.5488, acc fitness: 0.9960
total fitness: 2.0740, overhead fitness: 0.5450, acc fitness: 0.9840
total fitness: 2.3009, overhead fitness: 0.9225, acc fitness: 0.4560
total fitness: 2.0916, overhead fitness: 0.5588, acc fitness: 0.9740
total fitness: 2.5716, overhead fitness: 0.9458, acc fitness: 0.6800
total fitness: 2.0690, overhead fitness: 0.5475, acc fitness: 0.9740
total fitness: 2.1751, overhead fitness: 0.9186, acc fitness: 0.3380
total fitness: 2.0918, overhead fitness: 0.5529, acc fitness: 0.9860
total fitness: 2.0215, overhead fitness: 0.5467, acc fitness: 0.9280
total fitness: 2.0611, overhead fitness: 0.5435, acc fitness: 0.9740
total fitness: 2.1064, overhead fitness: 0.5592, acc fitness: 0.9880
total fitness: 2.0522, overhead fitness: 0.5521, acc fitness: 0.9480
total fitness: 2.0973, overhead fitness: 0.5557, acc fitness: 0.9860
total fitness: 2.2270, overhead fitness: 0.9255, acc fitness: 0.3760
total fitness: 2.5126, overhead fitness: 0.8473, acc fitness: 0.8180
total fitness: 2.0688, overhead fitness: 0.5434, acc fitness: 0.9820
total fitness: 2.1246, overhead fitness: 0.5693, acc fitness: 0.9860
total fitness: 2.0688, overhead fitness: 0.6114, acc fitness: 0.8460
total fitness: 2.0660, overhead fitness: 0.5400, acc fitness: 0.9860
total fitness: 2.7334, overhead fitness: 0.9737, acc fitness: 0.7860
total fitness: 2.3941, overhead fitness: 0.8920, acc fitness: 0.6100
total fitness: 2.0558, overhead fitness: 0.5369, acc fitness: 0.9820
total fitness: 2.0748, overhead fitness: 0.5584, acc fitness: 0.9580
total fitness: 2.1077, overhead fitness: 0.5669, acc fitness: 0.9740
total fitness: 2.7077, overhead fitness: 0.9408, acc fitness: 0.8260
total fitness: 2.7192, overhead fitness: 0.8896, acc fitness: 0.9400
total fitness: 2.3414, overhead fitness: 0.9557, acc fitness: 0.4300
total fitness: 2.1407, overhead fitness: 0.5753, acc fitness: 0.9900
total fitness: 2.0336, overhead fitness: 0.5358, acc fitness: 0.9620
total fitness: 2.7472, overhead fitness: 0.9246, acc fitness: 0.8980
total fitness: 2.0852, overhead fitness: 0.5596, acc fitness: 0.9660
total fitness: 2.1056, overhead fitness: 0.5578, acc fitness: 0.9900
total fitness: 2.0540, overhead fitness: 0.5470, acc fitness: 0.9600
total fitness: 2.1104, overhead fitness: 0.5642, acc fitness: 0.9820
total fitness: 2.3846, overhead fitness: 0.9203, acc fitness: 0.5440
total fitness: 2.0894, overhead fitness: 0.5527, acc fitness: 0.9840
total fitness: 2.7169, overhead fitness: 0.9455, acc fitness: 0.8260
total fitness: 2.0329, overhead fitness: 0.5325, acc fitness: 0.9680
total fitness: 2.0155, overhead fitness: 0.5248, acc fitness: 0.9660
total fitness: 2.0753, overhead fitness: 0.5456, acc fitness: 0.9840
total fitness: 2.4726, overhead fitness: 0.9143, acc fitness: 0.6440
total fitness: 2.0761, overhead fitness: 0.5441, acc fitness: 0.9880
total fitness: 2.2652, overhead fitness: 0.8236, acc fitness: 0.6180
total fitness: 2.0955, overhead fitness: 0.5517, acc fitness: 0.9920
total fitness: 2.0847, overhead fitness: 0.5474, acc fitness: 0.9900
total fitness: 2.1134, overhead fitness: 0.5667, acc fitness: 0.9800
total fitness: 2.0620, overhead fitness: 0.5370, acc fitness: 0.9880
total fitness: 2.2357, overhead fitness: 0.9379, acc fitness: 0.3600
total fitness: 2.3090, overhead fitness: 0.9255, acc fitness: 0.4580
total fitness: 2.6018, overhead fitness: 0.9359, acc fitness: 0.7300
total fitness: 2.0674, overhead fitness: 0.5557, acc fitness: 0.9560
total fitness: 2.0575, overhead fitness: 0.5578, acc fitness: 0.9420
total fitness: 2.0965, overhead fitness: 0.5563, acc fitness: 0.9840
total fitness: 2.0493, overhead fitness: 0.5456, acc fitness: 0.9580
total fitness: 2.1003, overhead fitness: 0.5831, acc fitness: 0.9340
total fitness: 2.1324, overhead fitness: 0.5732, acc fitness: 0.9860
total fitness: 2.0734, overhead fitness: 0.5567, acc fitness: 0.9600
total fitness: 2.1208, overhead fitness: 0.5644, acc fitness: 0.9920
total fitness: 2.0474, overhead fitness: 0.5617, acc fitness: 0.9240
total fitness: 2.3108, overhead fitness: 0.9514, acc fitness: 0.4080
total fitness: 2.1182, overhead fitness: 0.5791, acc fitness: 0.9600
total fitness: 2.0660, overhead fitness: 0.5620, acc fitness: 0.9420
total fitness: 2.0591, overhead fitness: 0.5366, acc fitness: 0.9860
total fitness: 2.0642, overhead fitness: 0.5391, acc fitness: 0.9860
total fitness: 2.0906, overhead fitness: 0.5643, acc fitness: 0.9620
total fitness: 2.7794, overhead fitness: 0.9177, acc fitness: 0.9440
total fitness: 2.0835, overhead fitness: 0.5497, acc fitness: 0.9840
total fitness: 2.5089, overhead fitness: 0.9185, acc fitness: 0.6720
total fitness: 2.2345, overhead fitness: 0.9333, acc fitness: 0.3680
total fitness: 2.4906, overhead fitness: 0.9273, acc fitness: 0.6360
total fitness: 2.0802, overhead fitness: 0.5451, acc fitness: 0.9900
total fitness: 2.1826, overhead fitness: 0.9323, acc fitness: 0.3180
total fitness: 2.0329, overhead fitness: 0.5334, acc fitness: 0.9660
total fitness: 2.5150, overhead fitness: 0.9415, acc fitness: 0.6320
total fitness: 2.0528, overhead fitness: 0.5464, acc fitness: 0.9600
total fitness: 2.2761, overhead fitness: 0.6510, acc fitness: 0.9740
total fitness: 2.0999, overhead fitness: 0.5579, acc fitness: 0.9840
total fitness: 2.5090, overhead fitness: 0.9035, acc fitness: 0.7020
total fitness: 2.0290, overhead fitness: 0.5405, acc fitness: 0.9480
total fitness: 2.6780, overhead fitness: 0.8880, acc fitness: 0.9020
