total fitness: 2.0729, overhead fitness: 0.5474, acc fitness: 0.9780
total fitness: 2.0778, overhead fitness: 0.5409, acc fitness: 0.9960
total fitness: 2.0582, overhead fitness: 0.5431, acc fitness: 0.9720
total fitness: 2.0788, overhead fitness: 0.5524, acc fitness: 0.9740
total fitness: 2.0379, overhead fitness: 0.5330, acc fitness: 0.9720
total fitness: 2.0522, overhead fitness: 0.5401, acc fitness: 0.9720
total fitness: 2.0901, overhead fitness: 0.5560, acc fitness: 0.9780
total fitness: 2.0290, overhead fitness: 0.5325, acc fitness: 0.9640
total fitness: 2.0865, overhead fitness: 0.5552, acc fitness: 0.9760
total fitness: 2.0613, overhead fitness: 0.5417, acc fitness: 0.9780
total fitness: 2.0481, overhead fitness: 0.5360, acc fitness: 0.9760
total fitness: 2.0563, overhead fitness: 0.5352, acc fitness: 0.9860
total fitness: 2.0526, overhead fitness: 0.5433, acc fitness: 0.9660
total fitness: 2.0432, overhead fitness: 0.5356, acc fitness: 0.9720
total fitness: 2.0389, overhead fitness: 0.5375, acc fitness: 0.9640
total fitness: 2.4768, overhead fitness: 0.9504, acc fitness: 0.5760
total fitness: 2.4526, overhead fitness: 0.9193, acc fitness: 0.6140
total fitness: 2.0457, overhead fitness: 0.5308, acc fitness: 0.9840
total fitness: 2.5778, overhead fitness: 0.9429, acc fitness: 0.6920
total fitness: 2.5030, overhead fitness: 0.9405, acc fitness: 0.6220
total fitness: 2.6363, overhead fitness: 0.8992, acc fitness: 0.8380
total fitness: 2.0978, overhead fitness: 0.5519, acc fitness: 0.9940
total fitness: 2.4308, overhead fitness: 0.7794, acc fitness: 0.8720
total fitness: 2.4457, overhead fitness: 0.9258, acc fitness: 0.5940
total fitness: 2.0572, overhead fitness: 0.5336, acc fitness: 0.9900
total fitness: 2.0563, overhead fitness: 0.5391, acc fitness: 0.9780
total fitness: 2.0715, overhead fitness: 0.5398, acc fitness: 0.9920
total fitness: 2.0900, overhead fitness: 0.5530, acc fitness: 0.9840
total fitness: 2.0726, overhead fitness: 0.5403, acc fitness: 0.9920
total fitness: 2.0756, overhead fitness: 0.5468, acc fitness: 0.9820
total fitness: 2.0431, overhead fitness: 0.5366, acc fitness: 0.9700
total fitness: 2.0358, overhead fitness: 0.5319, acc fitness: 0.9720
total fitness: 2.2781, overhead fitness: 0.6460, acc fitness: 0.9860
total fitness: 2.4405, overhead fitness: 0.9493, acc fitness: 0.5420
total fitness: 2.0788, overhead fitness: 0.5454, acc fitness: 0.9880
total fitness: 2.0918, overhead fitness: 0.5539, acc fitness: 0.9840
total fitness: 2.1957, overhead fitness: 0.6069, acc fitness: 0.9820
total fitness: 2.3435, overhead fitness: 0.8717, acc fitness: 0.6000
total fitness: 2.4162, overhead fitness: 0.9121, acc fitness: 0.5920
total fitness: 2.0424, overhead fitness: 0.5382, acc fitness: 0.9660
total fitness: 2.4383, overhead fitness: 0.9382, acc fitness: 0.5620
total fitness: 2.2859, overhead fitness: 0.9500, acc fitness: 0.3860
total fitness: 2.5250, overhead fitness: 0.9115, acc fitness: 0.7020
total fitness: 2.0834, overhead fitness: 0.5527, acc fitness: 0.9780
total fitness: 2.0721, overhead fitness: 0.5360, acc fitness: 1.0000
total fitness: 2.0774, overhead fitness: 0.5467, acc fitness: 0.9840
total fitness: 2.0462, overhead fitness: 0.5371, acc fitness: 0.9720
total fitness: 2.4195, overhead fitness: 0.9368, acc fitness: 0.5460
total fitness: 2.0824, overhead fitness: 0.5552, acc fitness: 0.9720
total fitness: 2.4369, overhead fitness: 0.9185, acc fitness: 0.6000
total fitness: 2.0561, overhead fitness: 0.5491, acc fitness: 0.9580
total fitness: 2.0615, overhead fitness: 0.5407, acc fitness: 0.9800
total fitness: 2.0655, overhead fitness: 0.5397, acc fitness: 0.9860
total fitness: 2.0749, overhead fitness: 0.5415, acc fitness: 0.9920
total fitness: 2.0777, overhead fitness: 0.5489, acc fitness: 0.9800
total fitness: 2.0768, overhead fitness: 0.5414, acc fitness: 0.9940
total fitness: 2.4324, overhead fitness: 0.8832, acc fitness: 0.6660
total fitness: 2.3838, overhead fitness: 0.9379, acc fitness: 0.5080
total fitness: 2.5437, overhead fitness: 0.9118, acc fitness: 0.7200
total fitness: 2.7318, overhead fitness: 0.9059, acc fitness: 0.9200
total fitness: 2.0786, overhead fitness: 0.5463, acc fitness: 0.9860
total fitness: 2.0610, overhead fitness: 0.5425, acc fitness: 0.9760
total fitness: 2.3637, overhead fitness: 0.9038, acc fitness: 0.5560
total fitness: 2.0537, overhead fitness: 0.5389, acc fitness: 0.9760
total fitness: 2.0551, overhead fitness: 0.5405, acc fitness: 0.9740
total fitness: 2.0879, overhead fitness: 0.5469, acc fitness: 0.9940
total fitness: 2.0784, overhead fitness: 0.5502, acc fitness: 0.9780
total fitness: 2.0604, overhead fitness: 0.5342, acc fitness: 0.9920
total fitness: 2.6034, overhead fitness: 0.8797, acc fitness: 0.8440
total fitness: 2.0530, overhead fitness: 0.5385, acc fitness: 0.9760
total fitness: 2.0585, overhead fitness: 0.5563, acc fitness: 0.9460
total fitness: 2.0509, overhead fitness: 0.5414, acc fitness: 0.9680
total fitness: 2.5487, overhead fitness: 0.8923, acc fitness: 0.7640
total fitness: 2.2528, overhead fitness: 0.9044, acc fitness: 0.4440
total fitness: 2.1130, overhead fitness: 0.5715, acc fitness: 0.9700
total fitness: 2.0695, overhead fitness: 0.5437, acc fitness: 0.9820
total fitness: 2.0706, overhead fitness: 0.5543, acc fitness: 0.9620
total fitness: 2.0691, overhead fitness: 0.5426, acc fitness: 0.9840
total fitness: 2.0877, overhead fitness: 0.5488, acc fitness: 0.9900
total fitness: 2.4665, overhead fitness: 0.9463, acc fitness: 0.5740
total fitness: 2.0990, overhead fitness: 0.5555, acc fitness: 0.9880
total fitness: 2.0709, overhead fitness: 0.5515, acc fitness: 0.9680
total fitness: 2.0723, overhead fitness: 0.5412, acc fitness: 0.9900
total fitness: 2.0596, overhead fitness: 0.5448, acc fitness: 0.9700
total fitness: 2.0937, overhead fitness: 0.5489, acc fitness: 0.9960
total fitness: 2.0878, overhead fitness: 0.5519, acc fitness: 0.9840
total fitness: 2.4839, overhead fitness: 0.9180, acc fitness: 0.6480
total fitness: 2.0582, overhead fitness: 0.5531, acc fitness: 0.9520
total fitness: 2.0385, overhead fitness: 0.5353, acc fitness: 0.9680
total fitness: 2.0764, overhead fitness: 0.5562, acc fitness: 0.9640
total fitness: 2.5550, overhead fitness: 0.9195, acc fitness: 0.7160
total fitness: 2.4510, overhead fitness: 0.8535, acc fitness: 0.7440
total fitness: 2.0555, overhead fitness: 0.5517, acc fitness: 0.9520
total fitness: 2.0478, overhead fitness: 0.5299, acc fitness: 0.9880
total fitness: 2.0547, overhead fitness: 0.5413, acc fitness: 0.9720
total fitness: 2.0765, overhead fitness: 0.5543, acc fitness: 0.9680
total fitness: 2.0817, overhead fitness: 0.5499, acc fitness: 0.9820
total fitness: 2.0664, overhead fitness: 0.5402, acc fitness: 0.9860
total fitness: 2.0704, overhead fitness: 0.5422, acc fitness: 0.9860
total fitness: 2.0678, overhead fitness: 0.5409, acc fitness: 0.9860
BEST OF GEN 0: test overhead = 0.0923, test acc = 0.0859
GEN 0: best fitness = 2.7318 (took 691.01 sec)
total fitness: 2.1088, overhead fitness: 0.5624, acc fitness: 0.9840
total fitness: 2.2839, overhead fitness: 1.0000, acc fitness: 0.2840
total fitness: 2.2840, overhead fitness: 1.0000, acc fitness: 0.2840
total fitness: 2.2190, overhead fitness: 0.9815, acc fitness: 0.2560
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.4598, overhead fitness: 0.7339, acc fitness: 0.9920
total fitness: 2.0089, overhead fitness: 0.5064, acc fitness: 0.9960
total fitness: 2.2129, overhead fitness: 0.9715, acc fitness: 0.2700
total fitness: 1.9780, overhead fitness: 0.5000, acc fitness: 0.9780
total fitness: 1.9953, overhead fitness: 0.5016, acc fitness: 0.9920
total fitness: 2.1695, overhead fitness: 0.6498, acc fitness: 0.8700
total fitness: 1.9901, overhead fitness: 0.5031, acc fitness: 0.9840
total fitness: 1.9885, overhead fitness: 0.5093, acc fitness: 0.9700
total fitness: 2.1240, overhead fitness: 0.5680, acc fitness: 0.9880
total fitness: 2.2277, overhead fitness: 0.9778, acc fitness: 0.2720
total fitness: 2.1129, overhead fitness: 0.5624, acc fitness: 0.9880
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.3554, overhead fitness: 0.9827, acc fitness: 0.3900
total fitness: 2.3174, overhead fitness: 0.9937, acc fitness: 0.3300
total fitness: 2.5864, overhead fitness: 0.8042, acc fitness: 0.9780
total fitness: 2.4768, overhead fitness: 0.7444, acc fitness: 0.9880
total fitness: 1.9960, overhead fitness: 0.5000, acc fitness: 0.9960
total fitness: 2.3312, overhead fitness: 0.6746, acc fitness: 0.9820
total fitness: 2.5215, overhead fitness: 0.7687, acc fitness: 0.9840
total fitness: 2.6150, overhead fitness: 0.8465, acc fitness: 0.9220
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.0180, overhead fitness: 0.5120, acc fitness: 0.9940
total fitness: 2.4617, overhead fitness: 0.8709, acc fitness: 0.7200
total fitness: 2.2860, overhead fitness: 1.0000, acc fitness: 0.2860
total fitness: 2.1171, overhead fitness: 0.5665, acc fitness: 0.9840
total fitness: 2.6197, overhead fitness: 0.8619, acc fitness: 0.8960
total fitness: 1.9800, overhead fitness: 0.5000, acc fitness: 0.9800
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.4956, overhead fitness: 0.8628, acc fitness: 0.7700
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.0900, overhead fitness: 0.5610, acc fitness: 0.9680
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.2147, overhead fitness: 0.9783, acc fitness: 0.2580
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.6341, overhead fitness: 0.8300, acc fitness: 0.9740
total fitness: 2.2943, overhead fitness: 0.9612, acc fitness: 0.3720
total fitness: 2.3912, overhead fitness: 0.9726, acc fitness: 0.4460
total fitness: 1.9940, overhead fitness: 0.5000, acc fitness: 0.9940
total fitness: 2.4599, overhead fitness: 0.8770, acc fitness: 0.7060
total fitness: 2.4088, overhead fitness: 0.8614, acc fitness: 0.6860
total fitness: 1.9923, overhead fitness: 0.5001, acc fitness: 0.9920
total fitness: 2.1627, overhead fitness: 0.6254, acc fitness: 0.9120
total fitness: 2.1073, overhead fitness: 0.5596, acc fitness: 0.9880
total fitness: 2.4196, overhead fitness: 0.9528, acc fitness: 0.5140
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
total fitness: 2.2912, overhead fitness: 0.9976, acc fitness: 0.2960
total fitness: 1.9929, overhead fitness: 0.5005, acc fitness: 0.9920
total fitness: 1.9820, overhead fitness: 0.5000, acc fitness: 0.9820
total fitness: 2.5622, overhead fitness: 0.8151, acc fitness: 0.9320
total fitness: 1.9920, overhead fitness: 0.5000, acc fitness: 0.9920
